"the","and","for","have","that","they","this","you","not","but","good","with","the_ratios","and_ratios","for_ratios","have_ratios","that_ratios","they_ratios","this_ratios","you_ratios","not_ratios","but_ratios","good_ratios","with_ratios"
11,8,4,1,3,8,0,2,0,4,1,1,0.028,0.02,0.01,0.003,0.008,0.02,0,0.005,0,0.01,0.003,0.003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,2,0,5,7,6,2,5,2,0,0,0.037,0.029,0.005,0,0.013,0.019,0.016,0.005,0.013,0.005,0,0
9,4,4,0,3,3,0,1,3,2,0,3,0.037,0.017,0.017,0,0.012,0.012,0,0.004,0.012,0.008,0,0.012
1,2,2,4,2,1,0,0,0,0,0,0,0.016,0.032,0.032,0.063,0.032,0.016,0,0,0,0,0,0
13,7,3,0,1,0,0,0,1,1,0,1,0.071,0.038,0.016,0,0.005,0,0,0,0.005,0.005,0,0.005
2,4,0,0,1,0,1,0,0,0,0,1,0.019,0.037,0,0,0.009,0,0.009,0,0,0,0,0.009
16,18,1,1,0,4,2,14,0,1,1,4,0.049,0.055,0.003,0.003,0,0.012,0.006,0.043,0,0.003,0.003,0.012
8,18,2,0,2,0,0,0,1,2,0,8,0.022,0.049,0.005,0,0.005,0,0,0,0.003,0.005,0,0.022
25,9,5,2,0,3,3,15,1,1,0,7,0.052,0.019,0.01,0.004,0,0.006,0.006,0.031,0.002,0.002,0,0.015
17,12,2,4,8,1,2,7,3,2,2,1,0.048,0.034,0.006,0.011,0.023,0.003,0.006,0.02,0.009,0.006,0.006,0.003
7,5,4,0,2,1,0,4,0,1,0,0,0.042,0.03,0.024,0,0.012,0.006,0,0.024,0,0.006,0,0
29,23,7,1,3,0,3,9,3,3,4,4,0.042,0.034,0.01,0.001,0.004,0,0.004,0.013,0.004,0.004,0.006,0.006
5,5,2,2,0,1,0,0,0,0,0,0,0.048,0.048,0.019,0.019,0,0.01,0,0,0,0,0,0
5,4,0,0,0,0,0,1,0,0,0,0,0.045,0.036,0,0,0,0,0,0.009,0,0,0,0
2,2,1,0,0,1,1,0,0,1,0,1,0.036,0.036,0.018,0,0,0.018,0.018,0,0,0.018,0,0.018
2,2,1,0,1,0,0,0,0,1,0,0,0.031,0.031,0.015,0,0.015,0,0,0,0,0.015,0,0
9,4,1,1,0,0,1,1,0,0,0,1,0.047,0.021,0.005,0.005,0,0,0.005,0.005,0,0,0,0.005
9,2,0,0,0,0,0,1,1,1,0,1,0.117,0.026,0,0,0,0,0,0.013,0.013,0.013,0,0.013
11,3,2,0,0,0,2,0,2,1,0,0,0.059,0.016,0.011,0,0,0,0.011,0,0.011,0.005,0,0
13,16,2,3,6,1,1,0,4,1,0,2,0.031,0.039,0.005,0.007,0.014,0.002,0.002,0,0.01,0.002,0,0.005
9,2,1,0,2,0,0,0,0,1,1,0,0.087,0.019,0.01,0,0.019,0,0,0,0,0.01,0.01,0
0,2,3,1,0,0,0,1,1,1,0,0,0,0.023,0.035,0.012,0,0,0,0.012,0.012,0.012,0,0
22,17,1,5,5,3,5,16,5,2,0,2,0.042,0.032,0.002,0.009,0.009,0.006,0.009,0.03,0.009,0.004,0,0.004
23,13,4,1,1,0,4,1,1,4,1,3,0.057,0.032,0.01,0.002,0.002,0,0.01,0.002,0.002,0.01,0.002,0.007
6,2,1,1,0,0,0,0,0,0,0,0,0.054,0.018,0.009,0.009,0,0,0,0,0,0,0,0
1,5,2,0,0,0,0,1,0,0,0,0,0.011,0.053,0.021,0,0,0,0,0.011,0,0,0,0
7,2,1,1,1,0,0,1,3,2,0,2,0.043,0.012,0.006,0.006,0.006,0,0,0.006,0.018,0.012,0,0.012
1,5,3,0,1,0,0,2,0,0,0,2,0.009,0.045,0.027,0,0.009,0,0,0.018,0,0,0,0.018
3,1,2,0,0,0,0,1,0,0,0,0,0.039,0.013,0.026,0,0,0,0,0.013,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0.034,0,0.034,0,0,0,0,0,0,0,0
9,8,4,1,0,1,3,2,7,4,4,3,0.024,0.022,0.011,0.003,0,0.003,0.008,0.005,0.019,0.011,0.011,0.008
13,12,1,1,1,5,0,6,2,2,1,3,0.039,0.036,0.003,0.003,0.003,0.015,0,0.018,0.006,0.006,0.003,0.009
10,3,1,0,1,0,2,2,1,2,0,2,0.055,0.016,0.005,0,0.005,0,0.011,0.011,0.005,0.011,0,0.011
7,5,4,0,3,0,0,2,0,0,1,1,0.064,0.045,0.036,0,0.027,0,0,0.018,0,0,0.009,0.009
4,4,1,0,0,1,5,1,0,0,0,1,0.027,0.027,0.007,0,0,0.007,0.033,0.007,0,0,0,0.007
0,3,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0
7,7,1,0,1,0,0,4,0,1,0,0,0.058,0.058,0.008,0,0.008,0,0,0.033,0,0.008,0,0
3,5,3,0,1,0,0,1,0,0,0,0,0.045,0.076,0.045,0,0.015,0,0,0.015,0,0,0,0
3,3,2,1,0,0,0,1,0,1,0,1,0.031,0.031,0.021,0.01,0,0,0,0.01,0,0.01,0,0.01
7,5,2,1,1,0,0,0,0,0,0,1,0.06,0.043,0.017,0.009,0.009,0,0,0,0,0,0,0.009
3,0,1,1,0,0,0,1,0,0,1,1,0.068,0,0.023,0.023,0,0,0,0.023,0,0,0.023,0.023
0,1,1,1,0,1,1,0,2,1,0,0,0,0.019,0.019,0.019,0,0.019,0.019,0,0.038,0.019,0,0
3,3,1,1,1,3,0,1,0,0,0,0,0.025,0.025,0.008,0.008,0.008,0.025,0,0.008,0,0,0,0
14,10,1,1,0,0,3,0,0,3,0,1,0.061,0.043,0.004,0.004,0,0,0.013,0,0,0.013,0,0.004
16,12,1,5,4,1,4,1,1,4,0,0,0.037,0.028,0.002,0.012,0.009,0.002,0.009,0.002,0.002,0.009,0,0
10,1,1,1,0,0,0,0,1,1,0,2,0.081,0.008,0.008,0.008,0,0,0,0,0.008,0.008,0,0.016
3,2,3,0,0,0,0,0,0,1,0,0,0.053,0.035,0.053,0,0,0,0,0,0,0.018,0,0
6,4,3,1,1,1,0,2,2,0,0,0,0.038,0.025,0.019,0.006,0.006,0.006,0,0.013,0.013,0,0,0
1,4,2,1,1,0,0,1,0,0,0,3,0.008,0.033,0.017,0.008,0.008,0,0,0.008,0,0,0,0.025
3,1,0,0,0,0,0,0,0,0,0,1,0.068,0.023,0,0,0,0,0,0,0,0,0,0.023
19,5,4,0,2,3,1,4,2,2,2,3,0.052,0.014,0.011,0,0.005,0.008,0.003,0.011,0.005,0.005,0.005,0.008
13,10,5,0,1,3,4,3,4,1,0,3,0.04,0.03,0.015,0,0.003,0.009,0.012,0.009,0.012,0.003,0,0.009
8,4,3,2,4,1,2,1,4,1,1,1,0.051,0.025,0.019,0.013,0.025,0.006,0.013,0.006,0.025,0.006,0.006,0.006
4,2,1,0,1,0,0,2,0,0,0,1,0.034,0.017,0.008,0,0.008,0,0,0.017,0,0,0,0.008
2,4,1,0,1,0,2,1,1,2,0,2,0.014,0.028,0.007,0,0.007,0,0.014,0.007,0.007,0.014,0,0.014
20,12,6,1,4,4,1,4,6,2,1,5,0.036,0.022,0.011,0.002,0.007,0.007,0.002,0.007,0.011,0.004,0.002,0.009
19,9,5,1,7,4,2,1,1,4,0,3,0.054,0.025,0.014,0.003,0.02,0.011,0.006,0.003,0.003,0.011,0,0.008
22,12,7,0,2,0,2,6,4,1,0,1,0.062,0.034,0.02,0,0.006,0,0.006,0.017,0.011,0.003,0,0.003
12,5,3,0,2,0,1,0,2,1,2,1,0.069,0.029,0.017,0,0.011,0,0.006,0,0.011,0.006,0.011,0.006
3,1,0,0,0,0,0,0,0,0,0,0,0.103,0.034,0,0,0,0,0,0,0,0,0,0
2,4,2,0,0,1,0,4,0,1,2,0,0.015,0.03,0.015,0,0,0.007,0,0.03,0,0.007,0.015,0
4,5,4,3,1,2,0,1,3,0,0,1,0.025,0.031,0.025,0.019,0.006,0.013,0,0.006,0.019,0,0,0.006
3,1,0,0,0,0,1,2,0,0,0,0,0.037,0.012,0,0,0,0,0.012,0.025,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0
3,0,1,0,1,0,0,1,0,1,0,0,0.075,0,0.025,0,0.025,0,0,0.025,0,0.025,0,0
6,7,1,1,1,0,2,0,0,0,0,1,0.065,0.075,0.011,0.011,0.011,0,0.022,0,0,0,0,0.011
21,24,9,1,8,1,1,3,4,2,1,0,0.034,0.039,0.015,0.002,0.013,0.002,0.002,0.005,0.006,0.003,0.002,0
6,4,3,0,0,2,0,0,1,0,0,1,0.037,0.025,0.019,0,0,0.012,0,0,0.006,0,0,0.006
13,9,1,0,1,3,1,5,0,2,1,1,0.042,0.029,0.003,0,0.003,0.01,0.003,0.016,0,0.006,0.003,0.003
2,5,1,0,0,1,1,0,1,2,0,1,0.016,0.039,0.008,0,0,0.008,0.008,0,0.008,0.016,0,0.008
1,3,0,0,1,0,0,1,0,0,0,0,0.019,0.058,0,0,0.019,0,0,0.019,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,1,0.018,0.018,0,0,0,0.018,0,0,0,0.018,0,0.018
9,2,0,2,2,0,1,7,0,2,2,2,0.049,0.011,0,0.011,0.011,0,0.005,0.038,0,0.011,0.011,0.011
2,2,0,0,0,0,0,1,0,2,1,0,0.02,0.02,0,0,0,0,0,0.01,0,0.02,0.01,0
3,3,2,1,1,0,2,0,0,0,0,1,0.026,0.026,0.018,0.009,0.009,0,0.018,0,0,0,0,0.009
11,10,3,1,4,5,2,1,3,3,3,1,0.034,0.031,0.009,0.003,0.012,0.015,0.006,0.003,0.009,0.009,0.009,0.003
2,1,1,0,0,0,1,0,0,0,0,0,0.031,0.016,0.016,0,0,0,0.016,0,0,0,0,0
7,5,1,3,1,0,1,0,0,0,0,0,0.048,0.034,0.007,0.021,0.007,0,0.007,0,0,0,0,0
4,5,0,1,1,0,2,0,0,2,0,0,0.043,0.054,0,0.011,0.011,0,0.022,0,0,0.022,0,0
2,5,0,0,0,0,1,0,0,0,0,0,0.038,0.096,0,0,0,0,0.019,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,2,0,0,0.069,0.034,0,0,0,0,0,0,0,0.069,0
19,9,4,1,5,2,2,4,2,7,3,1,0.04,0.019,0.008,0.002,0.011,0.004,0.004,0.008,0.004,0.015,0.006,0.002
3,4,1,0,1,0,0,1,1,0,0,0,0.03,0.04,0.01,0,0.01,0,0,0.01,0.01,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0.088,0.018,0,0,0,0,0,0,0,0,0,0
1,0,1,1,2,0,1,0,0,0,0,1,0.009,0,0.009,0.009,0.018,0,0.009,0,0,0,0,0.009
1,5,0,1,0,0,1,0,0,1,1,0,0.013,0.067,0,0.013,0,0,0.013,0,0,0.013,0.013,0
1,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0
9,8,5,0,0,0,6,0,0,1,0,1,0.05,0.044,0.028,0,0,0,0.033,0,0,0.006,0,0.006
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
2,2,1,0,0,1,1,0,0,0,0,2,0.027,0.027,0.014,0,0,0.014,0.014,0,0,0,0,0.027
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.04,0,0,0,0.04,0
1,2,3,2,0,1,1,1,0,0,0,0,0.012,0.023,0.035,0.023,0,0.012,0.012,0.012,0,0,0,0
4,4,2,0,0,1,2,1,0,1,0,1,0.061,0.061,0.03,0,0,0.015,0.03,0.015,0,0.015,0,0.015
21,24,8,1,8,1,2,3,4,2,1,0,0.034,0.039,0.013,0.002,0.013,0.002,0.003,0.005,0.006,0.003,0.002,0
0,1,0,1,0,5,1,1,0,0,0,0,0,0.01,0,0.01,0,0.048,0.01,0.01,0,0,0,0
3,1,1,0,1,1,2,1,0,1,0,0,0.041,0.014,0.014,0,0.014,0.014,0.027,0.014,0,0.014,0,0
14,9,1,0,1,3,1,5,0,2,0,1,0.044,0.029,0.003,0,0.003,0.01,0.003,0.016,0,0.006,0,0.003
1,0,2,0,0,0,1,1,0,0,0,0,0.045,0,0.091,0,0,0,0.045,0.045,0,0,0,0
3,1,0,0,3,1,1,0,0,0,0,0,0.056,0.019,0,0,0.056,0.019,0.019,0,0,0,0,0
16,12,2,1,11,2,2,4,1,3,0,1,0.039,0.029,0.005,0.002,0.027,0.005,0.005,0.01,0.002,0.007,0,0.002
1,4,3,0,1,0,0,1,0,2,0,0,0.011,0.044,0.033,0,0.011,0,0,0.011,0,0.022,0,0
2,6,0,2,0,0,2,0,0,0,0,0,0.014,0.043,0,0.014,0,0,0.014,0,0,0,0,0
2,0,0,0,1,0,0,0,0,1,0,0,0.034,0,0,0,0.017,0,0,0,0,0.017,0,0
2,2,0,1,0,0,1,0,0,0,0,1,0.006,0.006,0,0.003,0,0,0.003,0,0,0,0,0.003
8,8,6,3,0,1,1,1,0,3,0,0,0.041,0.041,0.031,0.015,0,0.005,0.005,0.005,0,0.015,0,0
5,5,4,1,0,1,0,0,0,0,0,0,0.076,0.076,0.061,0.015,0,0.015,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0,0,0,0,0.033,0.1,0.033,0,0,0,0,0,0,0,0,0
3,9,1,1,0,0,1,0,0,0,1,0,0.028,0.085,0.009,0.009,0,0,0.009,0,0,0,0.009,0
1,3,0,0,0,0,0,0,0,0,2,0,0.017,0.052,0,0,0,0,0,0,0,0,0.034,0
3,1,1,1,1,2,1,0,0,0,0,2,0.032,0.011,0.011,0.011,0.011,0.021,0.011,0,0,0,0,0.021
4,1,0,0,1,0,2,1,0,0,0,0,0.059,0.015,0,0,0.015,0,0.029,0.015,0,0,0,0
4,4,0,0,0,0,0,0,0,0,1,0,0.057,0.057,0,0,0,0,0,0,0,0,0.014,0
6,6,3,1,1,0,2,0,0,2,1,1,0.034,0.034,0.017,0.006,0.006,0,0.011,0,0,0.011,0.006,0.006
0,0,2,1,0,0,0,1,0,0,0,0,0,0,0.038,0.019,0,0,0,0.019,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0
3,0,1,0,1,0,0,1,0,1,0,0,0.075,0,0.025,0,0.025,0,0,0.025,0,0.025,0,0
6,7,1,1,1,0,2,0,0,0,0,1,0.065,0.075,0.011,0.011,0.011,0,0.022,0,0,0,0,0.011
21,24,9,1,8,1,1,3,4,2,1,0,0.034,0.039,0.015,0.002,0.013,0.002,0.002,0.005,0.006,0.003,0.002,0
6,4,3,0,0,2,0,0,1,0,0,1,0.037,0.025,0.019,0,0,0.012,0,0,0.006,0,0,0.006
13,9,1,0,1,3,1,5,0,2,1,1,0.042,0.029,0.003,0,0.003,0.01,0.003,0.016,0,0.006,0.003,0.003
2,5,1,0,0,1,1,0,1,2,0,1,0.016,0.039,0.008,0,0,0.008,0.008,0,0.008,0.016,0,0.008
1,1,0,0,0,1,0,0,0,1,0,1,0.018,0.018,0,0,0,0.018,0,0,0,0.018,0,0.018
9,2,0,2,2,0,1,7,0,2,2,2,0.049,0.011,0,0.011,0.011,0,0.005,0.038,0,0.011,0.011,0.011
2,2,0,0,0,0,0,1,0,2,1,0,0.02,0.02,0,0,0,0,0,0.01,0,0.02,0.01,0
5,5,0,2,0,2,1,2,0,0,0,1,0.061,0.061,0,0.024,0,0.024,0.012,0.024,0,0,0,0.012
3,3,2,1,1,0,2,0,0,0,0,1,0.026,0.026,0.018,0.009,0.009,0,0.018,0,0,0,0,0.009
11,10,3,1,4,5,2,1,3,3,3,1,0.034,0.031,0.009,0.003,0.012,0.015,0.006,0.003,0.009,0.009,0.009,0.003
2,1,1,0,0,0,1,0,0,0,0,0,0.031,0.016,0.016,0,0,0,0.016,0,0,0,0,0
7,5,1,3,1,0,1,0,0,0,0,0,0.048,0.034,0.007,0.021,0.007,0,0.007,0,0,0,0,0
4,5,0,1,1,0,2,0,0,2,0,0,0.043,0.054,0,0.011,0.011,0,0.022,0,0,0.022,0,0
2,5,0,0,0,0,1,0,0,0,0,0,0.038,0.096,0,0,0,0,0.019,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,2,0,0,0.069,0.034,0,0,0,0,0,0,0,0.069,0
3,4,1,0,1,0,0,1,1,0,0,0,0.03,0.04,0.01,0,0.01,0,0,0.01,0.01,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0.088,0.018,0,0,0,0,0,0,0,0,0,0
1,0,1,1,2,0,1,0,0,0,0,1,0.009,0,0.009,0.009,0.018,0,0.009,0,0,0,0,0.009
1,1,1,0,0,1,0,0,0,0,0,0,0.018,0.018,0.018,0,0,0.018,0,0,0,0,0,0
1,5,0,1,0,0,1,0,0,1,1,0,0.013,0.067,0,0.013,0,0,0.013,0,0,0.013,0.013,0
1,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0
9,8,5,0,0,0,6,0,0,1,0,1,0.05,0.044,0.028,0,0,0,0.033,0,0,0.006,0,0.006
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
2,2,1,0,0,1,1,0,0,0,0,2,0.027,0.027,0.014,0,0,0.014,0.014,0,0,0,0,0.027
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.04,0,0,0,0.04,0
4,4,2,0,0,1,2,1,0,1,0,1,0.061,0.061,0.03,0,0,0.015,0.03,0.015,0,0.015,0,0.015
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0
3,0,1,0,1,0,0,1,0,1,0,0,0.075,0,0.025,0,0.025,0,0,0.025,0,0.025,0,0
1,0,2,0,0,1,0,0,1,1,0,0,0.009,0,0.019,0,0,0.009,0,0,0.009,0.009,0,0
5,8,5,5,1,3,2,0,2,0,0,2,0.02,0.033,0.02,0.02,0.004,0.012,0.008,0,0.008,0,0,0.008
6,7,1,1,1,0,2,0,0,0,0,1,0.065,0.075,0.011,0.011,0.011,0,0.022,0,0,0,0,0.011
1,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0
9,8,5,0,0,0,6,0,0,1,0,1,0.05,0.044,0.028,0,0,0,0.033,0,0,0.006,0,0.006
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
2,2,1,0,0,1,1,0,0,0,0,2,0.027,0.027,0.014,0,0,0.014,0.014,0,0,0,0,0.027
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
1,3,0,0,0,0,4,0,0,0,0,1,0.012,0.038,0,0,0,0,0.05,0,0,0,0,0.012
2,2,1,0,0,1,1,0,0,0,0,2,0.027,0.027,0.014,0,0,0.014,0.014,0,0,0,0,0.027
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
1,1,1,0,0,0,0,1,0,0,1,0,0.028,0.028,0.028,0,0,0,0,0.028,0,0,0.028,0
4,12,1,4,1,0,2,0,0,2,2,1,0.02,0.061,0.005,0.02,0.005,0,0.01,0,0,0.01,0.01,0.005
2,2,0,0,0,0,0,0,0,0,1,1,0.074,0.074,0,0,0,0,0,0,0,0,0.037,0.037
1,2,0,0,0,0,0,0,0,0,1,1,0.028,0.056,0,0,0,0,0,0,0,0,0.028,0.028
4,2,2,0,0,0,1,0,3,0,0,3,0.03,0.015,0.015,0,0,0,0.008,0,0.023,0,0,0.023
4,4,2,0,2,0,0,2,0,1,0,0,0.035,0.035,0.018,0,0.018,0,0,0.018,0,0.009,0,0
2,9,3,0,7,0,0,0,4,0,0,2,0.01,0.045,0.015,0,0.035,0,0,0,0.02,0,0,0.01
3,3,1,0,0,0,0,0,0,0,0,0,0.057,0.057,0.019,0,0,0,0,0,0,0,0,0
3,4,3,1,0,0,0,0,0,0,0,0,0.037,0.049,0.037,0.012,0,0,0,0,0,0,0,0
7,4,1,0,1,0,0,4,2,1,0,0,0.052,0.03,0.007,0,0.007,0,0,0.03,0.015,0.007,0,0
2,5,0,0,0,0,0,0,0,0,1,4,0.02,0.051,0,0,0,0,0,0,0,0,0.01,0.04
10,5,2,2,3,2,0,1,0,1,0,0,0.049,0.025,0.01,0.01,0.015,0.01,0,0.005,0,0.005,0,0
5,7,1,0,2,2,0,0,0,0,0,1,0.039,0.055,0.008,0,0.016,0.016,0,0,0,0,0,0.008
1,1,0,0,0,0,1,0,0,0,0,1,0.059,0.059,0,0,0,0,0.059,0,0,0,0,0.059
2,2,1,0,0,0,2,0,0,0,0,0,0.053,0.053,0.026,0,0,0,0.053,0,0,0,0,0
2,9,2,5,0,1,0,1,0,4,0,1,0.009,0.041,0.009,0.023,0,0.005,0,0.005,0,0.018,0,0.005
1,2,0,0,0,0,0,0,0,0,0,0,0.036,0.071,0,0,0,0,0,0,0,0,0,0
5,4,0,0,2,0,0,0,0,0,1,0,0.04,0.032,0,0,0.016,0,0,0,0,0,0.008,0
3,3,2,0,0,1,0,0,0,0,0,0,0.05,0.05,0.033,0,0,0.017,0,0,0,0,0,0
0,2,0,0,0,0,2,0,0,0,0,1,0,0.054,0,0,0,0,0.054,0,0,0,0,0.027
11,15,5,1,0,4,1,5,0,1,0,2,0.032,0.043,0.014,0.003,0,0.012,0.003,0.014,0,0.003,0,0.006
2,3,2,1,0,2,0,0,0,0,0,2,0.03,0.045,0.03,0.015,0,0.03,0,0,0,0,0,0.03
3,4,4,1,0,0,0,0,0,0,0,1,0.036,0.048,0.048,0.012,0,0,0,0,0,0,0,0.012
4,1,0,0,1,0,0,0,1,0,0,1,0.067,0.017,0,0,0.017,0,0,0,0.017,0,0,0.017
0,2,1,0,0,0,0,3,0,0,0,1,0,0.047,0.023,0,0,0,0,0.07,0,0,0,0.023
0,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,2,0,0,0,0,0,0.013,0,0.013,0,0,0,0.026,0,0,0,0
2,4,2,1,1,0,0,0,0,0,0,0,0.031,0.062,0.031,0.015,0.015,0,0,0,0,0,0,0
4,4,0,1,0,0,2,2,0,0,0,0,0.066,0.066,0,0.016,0,0,0.033,0.033,0,0,0,0
4,11,0,2,0,0,4,7,0,0,0,1,0.017,0.047,0,0.009,0,0,0.017,0.03,0,0,0,0.004
0,2,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0
7,3,0,1,0,0,1,2,1,0,1,0,0.074,0.032,0,0.011,0,0,0.011,0.021,0.011,0,0.011,0
10,7,3,0,4,3,2,5,2,0,1,2,0.039,0.028,0.012,0,0.016,0.012,0.008,0.02,0.008,0,0.004,0.008
1,2,2,2,0,0,0,0,0,0,0,1,0.021,0.043,0.043,0.043,0,0,0,0,0,0,0,0.021
1,4,2,0,0,0,0,1,0,0,0,2,0.012,0.049,0.024,0,0,0,0,0.012,0,0,0,0.024
1,2,1,0,0,0,1,1,0,0,0,0,0.029,0.057,0.029,0,0,0,0.029,0.029,0,0,0,0
2,1,2,0,0,0,1,0,0,0,0,1,0.029,0.014,0.029,0,0,0,0.014,0,0,0,0,0.014
2,3,0,2,1,1,0,0,0,0,0,1,0.031,0.046,0,0.031,0.015,0.015,0,0,0,0,0,0.015
1,1,1,0,0,1,0,1,0,0,0,1,0.024,0.024,0.024,0,0,0.024,0,0.024,0,0,0,0.024
2,4,0,0,0,2,0,1,0,0,2,0,0.029,0.059,0,0,0,0.029,0,0.015,0,0,0.029,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.043,0,0,0,0,0,0,0,0,0,0.043
3,5,1,0,1,0,1,0,0,0,1,0,0.021,0.035,0.007,0,0.007,0,0.007,0,0,0,0.007,0
